target,AUC,logAUC,EF 1%
aa2ar,83.39 ,28.37 ,21.8 
abl1,81.03 ,26.11 ,19.2 
ace,71.59 ,22.31 ,19.5 
aces,80.67 ,24.73 ,20.1 
ada,76.39 ,23.85 ,21.5 
ada17,76.89 ,25.65 ,21.8 
adrb1,76.04 ,19.18 ,10.5 
adrb2,69.26 ,11.73 ,3.9 
akt1,71.96 ,27.40 ,29.4 
akt2,76.72 ,16.00 ,7.7 
aldr,75.95 ,31.37 ,32.7 
ampc,78.92 ,15.92 ,8.3 
andr,51.06 ,4.52 ,5.6 
aofb,75.18 ,16.94 ,8.2 
bace1,65.80 ,10.55 ,8.1 
braf,83.32 ,21.81 ,11.2 
cah2,73.27 ,12.14 ,3.3 
casp3,71.94 ,16.05 ,11.6 
cdk2,79.10 ,20.83 ,13.9 
comt,88.71 ,33.96 ,22.0 
cp2c9,59.85 ,7.45 ,2.5 
cp3a4,63.07 ,6.83 ,2.4 
csf1r,86.10 ,32.38 ,25.3 
cxcr4,90.18 ,36.12 ,17.5 
def,69.47 ,22.84 ,21.6 
dhi1,67.76 ,11.47 ,5.8 
dpp4,87.13 ,41.22 ,40.7 
drd3,69.40 ,12.78 ,4.4 
dyr,86.82 ,43.29 ,43.7 
egfr,84.21 ,29.26 ,21.8 
esr1,67.48 ,17.72 ,15.4 
esr2,64.62 ,18.83 ,18.0 
fa10,86.64 ,38.98 ,35.6 
fa7,87.89 ,55.57 ,65.8 
fabp4,90.47 ,46.03 ,42.6 
fak1,75.05 ,23.51 ,20.0 
fgfr1,73.08 ,18.02 ,12.9 
fkb1a,74.69 ,15.54 ,9.0 
fnta,76.34 ,15.53 ,7.3 
fpps,83.50 ,51.45 ,67.1 
gcr,43.92 ,3.65 ,8.9 
glcm,81.08 ,30.44 ,24.1 
gria2,70.65 ,23.13 ,22.8 
grik1,86.31 ,35.14 ,26.7 
hdac2,76.59 ,24.20 ,20.0 
hdac8,79.91 ,28.51 ,24.1 
hivint,64.22 ,7.75 ,2.0 
hivpr,59.58 ,6.53 ,4.7 
hivrt,64.35 ,10.87 ,6.5 
hmdh,73.56 ,25.92 ,23.5 
hs90a,69.43 ,14.61 ,3.4 
hxk4,80.23 ,25.32 ,17.4 
igf1r,79.10 ,17.62 ,5.4 
inha,84.66 ,19.31 ,2.3 
ital,66.29 ,14.90 ,13.8 
jak2,81.68 ,28.59 ,23.4 
kif11,76.89 ,34.47 ,34.5 
kit,72.95 ,12.10 ,3.6 
kith,80.22 ,14.57 ,0.0 
kpcb,61.06 ,14.64 ,17.0 
lck,81.61 ,25.39 ,16.2 
lkha4,82.35 ,17.80 ,4.1 
mapk2,86.39 ,33.49 ,26.7 
mcr,36.29 ,-4.15 ,2.1 
met,79.81 ,23.64 ,15.7 
mk01,78.90 ,19.24 ,8.9 
mk10,82.15 ,23.77 ,10.6 
mk14,73.63 ,16.62 ,10.0 
mmp13,70.56 ,11.97 ,4.9 
mp2k1,77.81 ,16.09 ,4.1 
nos1,78.01 ,19.22 ,11.0 
nram,93.00 ,43.95 ,45.9 
pa2ga,72.05 ,26.12 ,29.3 
parp1,78.74 ,25.18 ,20.9 
pde5a,71.83 ,17.26 ,11.3 
pgh1,52.97 ,2.76 ,4.6 
pgh2,62.49 ,12.96 ,12.9 
plk1,84.04 ,27.53 ,18.7 
pnph,80.79 ,38.85 ,41.7 
ppara,80.55 ,19.21 ,4.8 
ppard,89.40 ,32.00 ,20.0 
pparg,79.54 ,20.54 ,12.0 
prgr,56.37 ,8.43 ,7.8 
ptn1,83.92 ,35.53 ,30.0 
pur2,91.92 ,50.54 ,50.0 
pygm,72.45 ,17.18 ,9.1 
pyrd,82.52 ,29.51 ,27.9 
reni,66.03 ,20.68 ,19.2 
rock1,73.64 ,16.69 ,10.0 
rxra,71.30 ,25.46 ,24.4 
sahh,84.96 ,39.19 ,33.3 
src,77.20 ,18.01 ,8.6 
tgfr1,87.52 ,35.92 ,27.8 
thb,79.16 ,36.27 ,37.9 
thrb,81.26 ,31.80 ,30.4 
try1,93.41 ,56.67 ,61.5 
tryb1,86.90 ,36.80 ,31.1 
tysy,82.16 ,27.81 ,21.1 
urok,95.44 ,65.06 ,71.6 
vgfr2,79.47 ,20.51 ,11.7 
wee1,91.04 ,51.81 ,54.9 
xiap,88.08 ,52.11 ,55.0 
mean,76.48 ,24.43 ,19.84 
median,78.38 ,22.99 ,17.45 
