target,AUC,EF_0.5%,EF_1%,EF_2%,EF_8%,EF_20%,BEDROC_¦Á=20,BEDROC_¦Á=80.5,BEDROC_¦Á=321.0
aa2ar,0.778,48.28,34.34,20.95,6.61,3.19,0.504,0.507,0.727
abl1,0.787,33.84,22.58,13.71,6.32,2.91,0.423,0.378,0.611
ace,0.673,16.23,11.71,8.52,4.03,2.54,0.272,0.21,0.303
aces,0.591,34.53,18.52,9.61,3.09,1.87,0.255,0.303,0.61
ada,0.793,40.44,24.92,14.5,5.65,3.39,0.427,0.414,0.685
ada17,0.832,37.89,33.67,23.01,7.73,3.61,0.552,0.495,0.578
adrb1,0.835,45.59,33.17,20.43,7.95,3.58,0.56,0.509,0.667
adrb2,0.812,34.68,24.27,15.17,6.22,3.2,0.425,0.38,0.534
akt1,0.755,15.61,14,10.41,5.16,3.26,0.349,0.26,0.331
akt2,0.778,23.96,18.83,12.41,5.45,3.12,0.381,0.313,0.435
aldr,0.781,45.01,30.34,18.86,6.21,3.14,0.481,0.499,0.767
ampc,0.801,21.43,16.55,15.52,6.26,3.23,0.422,0.323,0.346
andr,0.54,10.45,6.35,4.29,2.05,1.49,0.144,0.117,0.197
bace1,0.721,14.1,9.87,7.95,3.84,2.53,0.246,0.176,0.227
braf,0.884,31.88,24.33,19.07,7.15,3.95,0.503,0.416,0.522
cah2,0.686,8.13,7.12,5.9,3.86,2.6,0.228,0.125,0.118
casp3,0.666,32.42,19.57,12.55,4.71,2.26,0.349,0.356,0.604
cdk2,0.832,36.16,26.8,17.83,6.96,3.5,0.491,0.445,0.614
comt,0.95,29.95,31.62,20.67,9.76,4.88,0.548,0.378,0.354
cp2c9,0.58,1.66,2.49,1.67,1.77,1.5,0.096,0.037,0.022
cp3a4,0.686,9.39,6.45,5.3,3.16,2.21,0.184,0.11,0.116
csf1r,0.809,51.43,30.14,17.48,5.65,3.13,0.431,0.433,0.667
cxcr4,0.757,5.07,5.07,3.75,3.75,3.13,0.18,0.068,0.053
def,0.785,15.68,21.56,20.58,6.98,3.09,0.5,0.407,0.261
dhi1,0.528,9.12,5.45,3.64,2.01,1.44,0.133,0.097,0.134
dpp4,0.733,48.17,30.29,17.76,5.76,2.91,0.438,0.432,0.638
drd3,0.778,8.35,9.58,8.95,5,3.08,0.294,0.162,0.102
dyr,0.889,75.31,61.46,34.84,9.85,4.22,0.772,0.784,0.933
egfr,0.859,47.63,33.78,22.28,7.74,3.95,0.566,0.527,0.721
esr1,0.691,47.59,32.16,18.39,5.71,2.65,0.457,0.513,0.804
esr2,0.777,46.73,30.57,18.79,7.08,3.3,0.52,0.519,0.789
fa10,0.685,29.82,18.63,11.95,4.29,2.41,0.321,0.331,0.581
fa7,0.778,10.46,10.46,7.9,5.04,3.16,0.302,0.183,0.158
fabp4,0.747,50.97,31.86,18.05,5.84,2.55,0.46,0.509,0.803
fak1,0.853,42.39,24.77,20,8.38,3.8,0.583,0.508,0.734
fgfr1,0.753,2.89,2.89,2.15,2.88,2.88,0.158,0.053,0.043
